IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 1921-3:2016,Quality requirem,Chemical,2016,16.085,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 356-3:1990,Quality requirem,Mechanical Engi,1990,71.057,Active,bearings,"Applicable to bearings manufactured, tested, or sol"
IS 3790-6:2017,Performance req,Medical Equipme,2017,33.052,Active,diagnostic reage,"Applicable to diagnostic reagents manufactured, te"
IS 1910-6:1993,Code of practice,Chemical,1993,70.072,Under Revision,rubber products,"Applicable to rubber products manufactured, tested"
IS 1891:2004,Safety requireme,Chemical,2004,50.095,Withdrawn,lubricating oils,"Applicable to lubricating oils manufactured, tested,"
IS 1258-3:1990,Quality requirem,Production and G,1990,85.026,Active,fire extinguishers,"Applicable to fire extinguishers manufactured, teste"
IS 1841-3:2008,Guidelines for wa,Water Resources,2008,63.054,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 1813-5:2008,Safety requireme,Water Resources,2008,65.08,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 2989-4:1999,Classification an,Electronics and I,1999,77.046,Active,smart card reade,"Applicable to smart card readers manufactured, tes"
IS 361-4:1991,Code of practice,Mechanical Engi,1991,94.031,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 3815-5:1998,Guidelines for ho,Medical Equipme,1998,33.059,Active,hospital beds,"Applicable to hospital beds manufactured, tested, o"
IS 2991-6:2001,Classification an,Electronics and I,2001,53.04,Withdrawn,data storage dev,"Applicable to data storage devices manufactured, t"
IS 4113-4:2017,Guidelines for ke,"Petroleum, Coal",2017,60.052,Active,kerosene,"Applicable to kerosene manufactured, tested, or so"
IS 4044-4:2013,Classification an,Civil Engineering,2013,63.014,Active,bitumen for roads,"Applicable to bitumen for roads manufactured, teste"
IS 3692-3:2022,Methods of test f,Transport Engine,2022,49.036,Under Revision,child safety seats,"Applicable to child safety seats manufactured, teste"
IS 1257-4:1991,Code of practice,Production and G,1991,98.08,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 1848-2:2013,Methods of test f,Water Resources,2013,65.073,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
